State, log_marginal, befor_grad, total_grad
1000fitc, 0.113109, 0.142562, 1.1343
1500fitc, 0.272764, 0.424732, 2.29391
2000fitc, 0.502827, 1.02285, 3.88411
1000full, 0.57393, 0.319724, 0.326905
1500full, 2.83802, 0.820963, 0.712416
2000full, 9.83389, 2.14142, 1.35117
